team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
McLaren,101.21079999999999,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Force India,106.30800000000002,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Manor Marussia,102.9721,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Sauber,102.8117,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Renault,103.0984,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Red Bull,115.69022222222222,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Mercedes,116.48066666666666,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Force India,113.13277777777778,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Toro Rosso,114.28744444444445,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Williams,115.7843,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Ferrari,114.12025,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
McLaren,116.31850000000001,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Sauber,125.70837500000002,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Renault,113.73866666666669,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Manor Marussia,115.8871,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Haas F1 Team,121.29666666666668,31.3389,121.22,Race circuit,0.374,15.7,65.8,Wet
Mercedes,130.313,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Ferrari,130.5835,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Williams,130.83241666666666,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Toro Rosso,137.5592,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
McLaren,137.7906,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Red Bull,138.9827,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Haas F1 Team,138.54609999999997,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Renault,137.8223,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Sauber,138.515,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Manor Marussia,138.5392,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Force India,139.37539999999998,43.4057,39.9578,Race circuit,0.0,6.5,56.5,Dry
Red Bull,111.05460000000001,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Toro Rosso,112.3252,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Ferrari,111.79739999999997,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Williams,112.9962,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Force India,112.83580000000002,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
McLaren,112.7218,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Haas F1 Team,113.23399999999997,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Renault,113.49109999999999,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Sauber,113.8477,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Manor Marussia,114.27770000000001,41.57,2.26111,Race circuit,0.0,4.3,62.8,Dry
Red Bull,136.244,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Mercedes,133.5278,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Ferrari,134.6206,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Force India,134.5739,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Toro Rosso,153.37155555555557,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
McLaren,135.4082,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Williams,136.4561111111111,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Haas F1 Team,136.88766666666666,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Renault,138.995375,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
